Fecha,Totales ,Permanentes,Eventuales,Urbanos,Del_campo
01/01/1998,10650123,9777860,872263,842923,29340
01/02/1998,10749014,9826971,922043,883967,38076
01/03/1998,10885713,9900111,985602,930113,55489
01/04/1998,10971363,9933563,1037800,956599,81201
01/05/1998,10955167,9923491,1031676,958119,73557
01/06/1998,11028169,9979882,1048287,990415,57872
01/07/1998,11120557,10033653,1086904,1039556,47348
01/08/1998,11186179,10077906,1108273,1067210,41063
01/09/1998,11283472,10153574,1129898,1088452,41446
01/10/1998,11376307,10222955,1153352,1111280,42072
01/11/1998,11422969,10274745,1148224,1097481,50743
01/12/1998,11243230,10167228,1076002,1004663,71339
01/01/1999,11298350,10184564,1113786,1024035,89751
01/02/1999,11427884,10251857,1176027,1057776,118251
01/03/1999,11529657,10327121,1202536,1082953,119583
01/04/1999,11595331,10375145,1220186,1108438,111748
01/05/1999,11616028,10421378,1194650,1109240,85410
01/06/1999,11650220,10470224,1179996,1132809,47187
01/07/1999,11699653,10495245,1204408,1165760,38648
01/08/1999,11795913,10565752,1230161,1190517,39644
01/09/1999,11918475,10665800,1252675,1210991,41684
01/10/1999,11992623,10738688,1253935,1216183,37752
01/11/1999,12148037,10850963,1297074,1249164,47910
01/12/1999,11905112,10703272,1201840,1137965,63875
01/01/2000,12034095,10772480,1261615,1174893,86722
01/02/2000,12158433,10847478,1310955,1205433,105522
01/03/2000,12258841,10927028,1331813,1230773,101040
01/04/2000,12254009,10933275,1320734,1221442,99292
01/05/2000,12345063,11014909,1330154,1259993,70161
01/06/2000,12405558,11080108,1325450,1284210,41240
01/07/2000,12494633,11138822,1355811,1323210,32601
01/08/2000,12554723,11240971,1313752,1283613,30139
01/09/2000,12605656,11305454,1300202,1270643,29559
01/10/2000,12724493,11408390,1316103,1284010,32093
01/11/2000,12777514,11460594,1316920,1276909,40011
01/12/2000,12437760,11247407,1190353,1139376,50977
01/01/2001,12525949,11272010,1253939,1171143,82796
01/02/2001,12559358,11303474,1255884,1155529,100355
01/03/2001,12530250,11282754,1247496,1148375,99121
01/04/2001,12534173,11296770,1237403,1138588,98815
01/05/2001,12505105,11273321,1231784,1151792,79992
01/06/2001,12418906,11225254,1193652,1152451,41201
01/07/2001,12416576,11214260,1202316,1174666,27650
01/08/2001,12406096,11191144,1214952,1184817,30135
01/09/2001,12358665,11160802,1197863,1167527,30336
01/10/2001,12423519,11197190,1226329,1192671,33658
01/11/2001,12451466,11215560,1235906,1190031,45875
01/12/2001,12170945,11050422,1120523,1060581,59942
01/01/2002,12195513,11024525,1170988,1088487,82501
01/02/2002,12275211,11049740,1225471,1128090,97381
01/03/2002,12221087,11045981,1175106,1085997,89109
01/04/2002,12352690,11111839,1240851,1153858,86993
01/05/2002,12338063,11141182,1196881,1151209,45672
01/06/2002,12288156,11107096,1181060,1152183,28877
01/07/2002,12368684,11163149,1205535,1183897,21638
01/08/2002,12340462,11126661,1213801,1191965,21836
01/09/2002,12400521,11199494,1201027,1179266,21761
01/10/2002,12457620,11221072,1236548,1211729,24819
